threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,4.5,0.40332875772134524,1.0,0.0,1.0,,1.0,1.0,,0.40332875772134524,,0.40332875772134524,1.0,0.5748171368861025,1.0
0.01,4.5,0.43931594600777857,1.0,0.06031209781209781,1.0643030430287577,0.0,1.0,0.9396879021879021,0.0,0.41840074268559235,1.0,0.41840074268559235,1.0,0.5899567683213899,0.9640128117135667
0.02,4.5,0.48012468542667586,0.9986666666666666,0.12960907335907337,1.1483701017805361,0.008222222222222205,0.9986666666666666,0.8703909266409265,0.005263157894736842,0.4369286645108693,0.9947368421052631,0.4369286645108693,0.9986666666666666,0.6078545576334818,0.9221288034774651
0.03,4.5,0.5085907115076642,0.9933333333333334,0.1809202059202059,1.2135611019762775,0.037298989898989825,0.9933333333333334,0.8190797940797939,0.023095238095238096,0.45055800762799086,0.9769047619047619,0.45055800762799086,0.9933333333333334,0.6198987422809434,0.8893617021276595
0.04,4.5,0.5472489132921527,0.9906666666666666,0.2475144787644788,1.3189851081584887,0.04061717541717534,0.9906666666666666,0.7524855212355213,0.02554590760175468,0.47108736437337917,0.9744540923982454,0.47108736437337917,0.9906666666666666,0.6384753280853778,0.8485529627087622
0.05,4.5,0.5827099061999543,0.9853508771929823,0.31053732303732307,1.431853561448721,0.04974300736628591,0.9853508771929823,0.6894626769626769,0.03140085702585702,0.4915434413100222,0.9685991429741432,0.4915434413100222,0.9853508771929823,0.655846469033316,0.808802333562114
0.06,4.5,0.6181537405628003,0.9840175438596491,0.3708413770913771,1.566636068191831,0.04404809031579139,0.9840175438596491,0.6291586229086228,0.02822386141794549,0.5140611964778274,0.9717761385820545,0.5140611964778274,0.9840175438596491,0.6752749121458238,0.7722832303820636
0.07,4.5,0.6385609700297415,0.9840175438596491,0.40504343629343625,1.6566784578203144,0.03974590845799994,0.9840175438596491,0.5949565637065638,0.025618901056572586,0.5280149994327037,0.9743810989434273,0.5280149994327037,0.9840175438596491,0.6871930059226781,0.7518760009151223
0.08,4.5,0.6498284145504462,0.9826842105263156,0.42483108108108114,1.7123398858598926,0.04153722130801803,0.9826842105263156,0.575168918918919,0.026849398967046016,0.5361540643331311,0.9731506010329539,0.5361540643331311,0.9826842105263156,0.6937144087317415,0.7395332875772134
0.09,4.5,0.6627202013269274,0.9813508771929824,0.4473375160875161,1.7797093085411462,0.0417298279993946,0.9813508771929824,0.5526624839124838,0.02704200549045469,0.5457490696900542,0.9729579945095453,0.5457490696900542,0.9813508771929824,0.7013349888775127,0.7255662319835279
