threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
0.0,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1e-30,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2e-30,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
4e-30,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
8e-30,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.6e-29,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
3.2e-29,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
6.4e-29,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.28e-28,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2.56e-28,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
5.12e-28,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.024e-27,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2.048e-27,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
4.096e-27,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
8.192e-27,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.6384e-26,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
3.2768e-26,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
6.5536e-26,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.31072e-25,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2.62144e-25,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
5.24288e-25,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.048576e-24,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2.097152e-24,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
4.194304e-24,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
8.388608e-24,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.6777216e-23,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
3.3554432e-23,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
6.7108864e-23,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
1.34217728e-22,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
2.68435456e-22,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
5.36870912e-22,3.0276503540974917,0.00032556050036049064,0.0,0.0,0.0,,0.0,0.0,,0.00032556050036049064,,0.00032556050036049064,0.0,0.00033043653711266937,0.0
