,0
0,0.8899788533834587
1,0.8858258258258258
2,0.8617417417417418
3,0.8724324324324325
4,0.8571771771771772
5,0.9021021021021022
6,0.8739939939939939
7,0.8883483483483484
8,0.8870870870870872
9,0.901081081081081
