,threshold,k_fold,accuracy,sensitivity,specificity,positive_likelihood,negative_likelihood,true_positive_rate,false_positive_rate,false_negative_rate,positive_predictive_value,negative_predictive_value,precision,recall,f1,positive_rate
45,-4.1499999999999995,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
46,-4.02,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
47,-3.8899999999999997,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
48,-3.76,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
49,-3.63,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
50,-3.5,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
51,-3.37,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
52,-3.24,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
53,-3.1099999999999994,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
54,-2.9799999999999995,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
55,-2.8499999999999996,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
56,-2.7199999999999998,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
57,-2.59,0.0,0.40425531914893614,1.0,0.0,1.0,,1.0,1.0,,0.40425531914893614,,0.40425531914893614,1.0,0.5757575757575757,1.0
58,-2.46,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
59,-2.33,0.0,0.4095744680851064,1.0,0.008928571428571428,1.009009009009009,0.0,1.0,0.9910714285714286,0.0,0.40641711229946526,1.0,0.40641711229946526,1.0,0.5779467680608364,0.9946808510638298
60,-2.1999999999999993,0.0,0.425531914893617,1.0,0.03571428571428571,1.037037037037037,0.0,1.0,0.9642857142857143,0.0,0.41304347826086957,1.0,0.41304347826086957,1.0,0.5846153846153846,0.9787234042553191
61,-2.0699999999999994,0.0,0.4308510638297872,1.0,0.044642857142857144,1.0467289719626167,0.0,1.0,0.9553571428571429,0.0,0.41530054644808745,1.0,0.41530054644808745,1.0,0.5868725868725869,0.973404255319149
62,-1.9399999999999995,0.0,0.43617021276595747,1.0,0.05357142857142857,1.0566037735849056,0.0,1.0,0.9464285714285714,0.0,0.4175824175824176,1.0,0.4175824175824176,1.0,0.5891472868217055,0.9680851063829787
63,-1.8100000000000005,0.0,0.4627659574468085,1.0,0.09821428571428571,1.1089108910891088,0.0,1.0,0.9017857142857143,0.0,0.4293785310734463,1.0,0.4293785310734463,1.0,0.6007905138339921,0.9414893617021277
64,-1.6799999999999997,0.0,0.4734042553191489,1.0,0.11607142857142858,1.1313131313131313,0.0,1.0,0.8839285714285714,0.0,0.4342857142857143,1.0,0.4342857142857143,1.0,0.6055776892430279,0.9308510638297872
65,-1.549999999999999,0.0,0.4787234042553192,1.0,0.125,1.1428571428571428,0.0,1.0,0.875,0.0,0.4367816091954023,1.0,0.4367816091954023,1.0,0.608,0.925531914893617
66,-1.42,0.0,0.5212765957446809,1.0,0.19642857142857142,1.2444444444444445,0.0,1.0,0.8035714285714286,0.0,0.4578313253012048,1.0,0.4578313253012048,1.0,0.628099173553719,0.8829787234042553
67,-1.2899999999999991,0.0,0.5638297872340425,1.0,0.26785714285714285,1.3658536585365852,0.0,1.0,0.7321428571428572,0.0,0.4810126582278481,1.0,0.4810126582278481,1.0,0.6495726495726496,0.8404255319148937
68,-1.1600000000000001,0.0,0.601063829787234,0.9868421052631579,0.3392857142857143,1.4935988620199145,0.03878116343490316,0.9868421052631579,0.6607142857142857,0.02564102564102564,0.5033557046979866,0.9743589743589743,0.5033557046979866,0.9868421052631579,0.6666666666666666,0.7925531914893617
69,-1.0299999999999994,0.0,0.675531914893617,0.9736842105263158,0.4732142857142857,1.8483496877787688,0.05561072492552129,0.9736842105263158,0.5267857142857143,0.03636363636363636,0.556390977443609,0.9636363636363636,0.556390977443609,0.9736842105263158,0.7081339712918661,0.7074468085106383
70,-0.9000000000000004,0.0,0.7340425531914894,0.9605263157894737,0.5803571428571429,2.288913773796193,0.06801619433198382,0.9605263157894737,0.4196428571428571,0.04411764705882353,0.6083333333333333,0.9558823529411765,0.6083333333333333,0.9605263157894737,0.7448979591836735,0.6382978723404256
71,-0.7699999999999996,0.0,0.7712765957446809,0.9605263157894737,0.6428571428571429,2.6894736842105265,0.061403508771929835,0.9605263157894737,0.3571428571428571,0.04,0.6460176991150443,0.96,0.6460176991150443,0.9605263157894737,0.7724867724867724,0.601063829787234
72,-0.6400000000000006,0.0,0.8085106382978723,0.9473684210526315,0.7142857142857143,3.3157894736842106,0.07368421052631587,0.9473684210526315,0.2857142857142857,0.047619047619047616,0.6923076923076923,0.9523809523809523,0.6923076923076923,0.9473684210526315,0.7999999999999999,0.5531914893617021
73,-0.5099999999999998,0.0,0.8297872340425532,0.9473684210526315,0.75,3.789473684210526,0.0701754385964913,0.9473684210526315,0.25,0.045454545454545456,0.72,0.9545454545454546,0.72,0.9473684210526315,0.8181818181818181,0.5319148936170213
74,-0.379999999999999,0.0,0.8404255319148937,0.9473684210526315,0.7678571428571429,4.080971659919029,0.06854345165238684,0.9473684210526315,0.2321428571428571,0.044444444444444446,0.7346938775510204,0.9555555555555556,0.7346938775510204,0.9473684210526315,0.8275862068965517,0.5212765957446809
